# x [m],	 y [m],	 u [m/s],	 v [m/s],	 mask
 31.5000	291.5000	-23.1995	-275.9898	  0.0000
 83.5000	291.5000	 -3.9648	-309.0164	  0.0000
135.5000	291.5000	 23.6621	-294.2376	  0.0000
187.5000	291.5000	 20.0911	-302.3221	  0.0000
239.5000	291.5000	  6.7131	-264.9607	  0.0000
291.5000	291.5000	 -9.9391	-281.0890	  0.0000
343.5000	291.5000	  2.6522	-298.9493	  0.0000
395.5000	291.5000	-14.0359	-292.4332	  0.0000
447.5000	291.5000	  9.1026	-292.0457	  0.0000
 31.5000	239.5000	 -8.5438	-264.2815	  0.0000
 83.5000	239.5000	  5.6525	-268.8643	  0.0000
135.5000	239.5000	 39.2196	-258.8301	  0.0000
187.5000	239.5000	  8.9573	-311.0934	  0.0000
239.5000	239.5000	 -5.5236	-273.0292	  0.0000
291.5000	239.5000	-20.8755	-248.4754	  0.0000
343.5000	239.5000	-30.7640	-283.7693	  0.0000
395.5000	239.5000	-15.3948	-294.1999	  0.0000
447.5000	239.5000	-26.4734	-290.5906	  0.0000
 31.5000	187.5000	  8.8530	-283.0294	  0.0000
 83.5000	187.5000	  3.7391	-286.2251	  0.0000
135.5000	187.5000	  9.2695	-282.3303	  0.0000
187.5000	187.5000	-15.4888	-304.3573	  0.0000
239.5000	187.5000	  7.6495	-289.2601	  0.0000
291.5000	187.5000	-11.2194	-242.0989	  0.0000
343.5000	187.5000	 -4.9278	-270.4148	  0.0000
395.5000	187.5000	-30.1744	-272.5600	  0.0000
447.5000	187.5000	-11.5894	-247.1468	  0.0000
 31.5000	135.5000	-40.3480	-242.9913	  0.0000
 83.5000	135.5000	  7.3710	-259.1683	  0.0000
135.5000	135.5000	-19.8627	-293.2096	  0.0000
187.5000	135.5000	  0.6138	-263.5858	  0.0000
239.5000	135.5000	  2.9130	-284.7550	  0.0000
291.5000	135.5000	-39.0734	-246.1420	  0.0000
343.5000	135.5000	-35.8661	-231.3467	  0.0000
395.5000	135.5000	-25.4430	-240.8571	  0.0000
447.5000	135.5000	  1.7975	-250.6079	  0.0000
 31.5000	 83.5000	 22.2608	-248.4543	  0.0000
 83.5000	 83.5000	-34.9210	-273.4296	  0.0000
135.5000	 83.5000	 -6.1616	-252.8822	  0.0000
187.5000	 83.5000	 27.3414	-279.2554	  0.0000
239.5000	 83.5000	  4.2448	-264.9514	  0.0000
291.5000	 83.5000	  6.0378	-212.0419	  0.0000
343.5000	 83.5000	 -4.9305	-259.7368	  0.0000
395.5000	 83.5000	-14.0160	-254.8429	  0.0000
447.5000	 83.5000	 -6.2646	-262.0029	  0.0000
 31.5000	 31.5000	 53.8981	-263.9040	  0.0000
 83.5000	 31.5000	 31.1249	-237.3467	  0.0000
135.5000	 31.5000	  3.4835	-239.0040	  0.0000
187.5000	 31.5000	  9.3890	-253.7199	  0.0000
239.5000	 31.5000	 -5.1267	-263.1297	  0.0000
291.5000	 31.5000	-12.3267	-254.1797	  0.0000
343.5000	 31.5000	-14.7568	-250.0280	  0.0000
395.5000	 31.5000	-16.8320	-251.2022	  0.0000
447.5000	 31.5000	 -5.8912	-233.1140	  0.0000
